Surface_total,Surface_usable,Room,Bedroom,Bathroom,Parking,Service_fees,Location,URL,Price
37.0,37.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980084180-coronel-souper-4250-1042-1-_JM#position=3&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,323500.0
50.0,50.0,,2.0,1.0,,70000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-979549778-comodo-departamento-en-piso-24-con-vista-despejada-_JM#position=4&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,360000.0
46.0,46.0,3.0,2.0,2.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980065426-coronel-souper-4222-459-4-_JM#position=5&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,425500.0
46.0,46.0,3.0,2.0,2.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980153859-coronel-souper-4222-459-4-_JM#position=6&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,421500.0
46.0,46.0,3.0,2.0,2.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980077858-coronel-souper-4222-459-4-_JM#position=7&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,419500.0
47.0,47.0,3.0,2.0,2.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980065424-coronel-souper-4222-459-4-_JM#position=8&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,415000.0
33.0,33.0,2.0,1.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-978526673-coronel-souper-4222-459-1-_JM#position=9&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,310000.0
35.0,31.0,,1.0,1.0,,50000.0,Estacion Central,https://www.portalinmobiliario.com/MLC-979617454-departamento-en-arriendo-en-estacion-central-_JM#position=10&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,300000.0
42.0,42.0,3.0,2.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-980077860-coronel-souper-4222-459-16-_JM#position=11&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,379500.0
46.0,46.0,,2.0,1.0,,,Estacion Central,https://www.portalinmobiliario.com/MLC-979824287-arriendo-departamento-nuevo-_JM#position=12&search_layout=stack&type=item&tracking_id=dd11b4eb-628e-444c-a42f-71c96d07bf5d,380000.0
